"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Camera Azimuth","Camera Azimuth","Kamera Azimuth","Caméra Azimuth","Kamera Azimuth","相机方位","cámara de acimut","камера Азимут","máy ảnh Azimuth","カメラの方位","kamera Azimuth","카메라 방위각","కెమెరా దిగంశం","कैमरा दिगंश","كاميرا السمت"
"Camera Rotation Angle","Camera Rotation Angle","Kamera-Drehwinkel","Caméra Angle de rotation","Kamera Rotation Vinkel","摄像头旋转角度","Ángulo de rotación de la cámara","Угол поворота камеры","Camera xoay góc","カメラの回転角度","Kamera Rotasjonsvinkel","카메라 회전 각도","కెమెరా భ్రమణ యాంగిల్","कैमरा रोटेशन कोण","كاميرا زاوية الدوران"
"Albedo","Albedo","Albedo","albedo","albedo","反照率","albedo","Альбедо","albedo","アルベド","albedo","알베도","పరావర్తనం చెందిన కాంతి శాతం","albedo","البياض"
"Reflectivity of the body from 0-1","Reflectivity of the body from 0-1","Reflexionsvermögen des Körpers von 0-1","La réflectivité du corps 0-1","Refleksionsevne kroppen 0-1","从0-1身体的反射率","La reflectividad del cuerpo entre 0-1","Отражательная тела от 0-1","Hệ số phản xạ của cơ thể 0-1","0-1からの体の反射率","Reflektivitet av legemet fra 0-1 bar","0-1 본체 반사율","0-1 నుండి శరీరం యొక్క పరావర్తనాన్ని","0-1 से शरीर के परावर्तन","الانعكاسية في الجسم 0-1"
"Albedo Feedback","Albedo Feedback","Albedo Rück","albédo","albedo feedback","反照率反馈","Comentarios albedo","Альбедо Обратная связь","Phản hồi albedo","アルベドフィードバック","albedo Tilbakemelding","알베도 피드백","పరావర్తనం చెందిన కాంతి శాతం అభిప్రాయం","albedo प्रतिक्रिया","ملاحظات البياض"
"Greenhouse Effect","Greenhouse Effect","Treibhauseffekt","Effet de serre","Greenhouse Effect","温室效应","Efecto invernadero","Парниковый эффект","Hiệu ứng nhà kính","温室効果","Drivhuseffekt","온실 효과","హరితగ్రుహ ప్రభావం","ग्रीनहाउस प्रभाव","تأثير البيت الاخضر"
"How Much Warmer Than Without an Atmosphere","How Much Warmer Than Without an Atmosphere","Wie viel wärmer als ohne Atmosphäre","Comment beaucoup plus chaud que sans atmosphère","Hvor meget varmere end uden en atmosfære","如何比没有的气氛暖和","¿Cuánto más caliente que sin atmósfera","Сколько теплее, чем без атмосферы","Làm thế nào ấm hơn nhiều so Nếu không có một Atmosphere","どのくらいの雰囲気がなければより暖かいです","Hvor mye varmere enn uten en atmosfære","어떻게 분위기없이보다 매우 높","ఎలా ఒక వాతావరణం లేకుండా కంటే ఎక్కువ వేడిగా","कैसे एक वातावरण के बिना की तुलना में बहुत गरम","كيف أدفأ بكثير من دون وجود الغلاف الجوي"
"Atmosphere Mass","Atmosphere Mass","Atmosphäre Massen","atmosphère de masse","Atmosfære Mass","大气质量","ambiente de masas","Атмосфера Mass","Atmosphere hàng loạt","雰囲気マス","atmosfære Mass","분위기 질량","వాతావరణం మాస్","वायुमंडल मास","جو الشامل"
"Surface Pressure","Surface Pressure","Flächenpressung","Pression de surface","fladetryk","表面压力","Presión superficial","Поверхностное давление","Surface Pressure","面圧","overflatetrykk","표면 압력","ఉపరితల పీడనం","भूतल दबाव","الضغط السطحية"
"Scale Height","Scale Height","Skala Höhe","échelle Hauteur","Scale Højde","标高","escala de altura","Масштаб Высота","Quy mô Chiều cao","スケールの高さ","Scale Høyde","스케일 높이","స్కేల్ ఎత్తు","स्केल ऊंचाई","مقياس الارتفاع"
"Enable Climate","Enable Climate","Klima aktivieren","activer climatique","Aktiver Klima","气候启用","Habilitar climático","Включение климата","Kích hoạt tính năng khí hậu","気候を有効にします","aktiver Klima","기후 활성화","వాతావరణ ప్రారంభించు","जलवायु सक्षम करें","تمكين المناخ"
"Temperature Depends on Latitude","Temperature Depends on Latitude","Temperatur ist abhängig von Breite","Température dépend de la latitude","Temperatur afhænger Latitude","温度取决于纬度","Temperatura depende de la latitud","Температура зависит от Широта","Nhiệt độ Phụ thuộc vào Latitude","温度は緯度に依存します","Temperatur Avhenger Latitude","온도는 위도에 따라 다름","ఉష్ణోగ్రత విశాలము మీద ఆధారపడి","तापमान अक्षांश पर निर्भर करता है",": تعتمد درجة الحرارة على خط العرض"
"Optimize for Climate View","Optimize for Climate View","Optimize for Climate anzeigen","Optimiser pour Voir climatique","Optimer for Climate View","优化气候查看","Optimizar para Climático Ver","Оптимизация для климата View","Tối ưu hóa cho khí hậu Xem","気候ビューの最適化","Optimaliser for Climate Vis","기후보기 최적화","వాతావరణ వీక్షించండి ఆప్టిమైజ్","जलवायु देखें लिए अनुकूलित करें","تحسين لمشاهدة المناخ"
"Show Atmosphere","Show Atmosphere","Atmosphere anzeigen","Afficher Ambiance","Vis Atmosfære","展会气氛","Mostrar Ambiente","Показать Atmosphere","Hiện Atmosphere","ショー雰囲気","Vis Atmosphere","표시 분위기","వాతావరణం షో","दिखाएँ वायुमंडल","مشاهدة الغلاف الجوي"
"Show Clouds","Show Clouds","Zeige Wolken","Afficher les Nuages","Vis Skyer","显示云","Mostrar nubes","Показать Clouds","Hiện Mây","ショー雲","Vis Clouds","쇼 구름","మేఘాలు షో","दिखाएँ बादल","مشاهدة الغيوم"
"Heat Capacity of Air","Heat Capacity of Air","Wärmekapazität der Luft","Capacité thermique de l'air","Varmekapacitet Air","空气的比热容","Capacidad de calor de aire","Теплоемкость воздуха","Công suất nhiệt của Air","空気の熱容量","Varmekapasitet Air","공기의 열 용량","ఎయిర్ హీట్ కెపాసిటీ","एयर की हीट क्षमता","السعة الحرارية للهواء"
"Heat Capacity of Air + Ocean Mixed Layer","Heat Capacity of Air + Ocean Mixed Layer","Wärmekapazität von Air + Ocean Mischschicht","Capacité thermique de l'air + couche de mélange océanique","Varmekapacitet Air + Ocean Blandet Layer","空运和海运混合层的热容","Capacidad de calor de aire + Océano capa de mezcla","Теплоемкость воздуха + океана смешанного слоя","Công suất nhiệt của Air + Dương Mixed lớp","航空+海洋混合層の熱容量","Varmekapasitet Air + Ocean Blandet Layer","항공 + 해양 혼합층의 열 용량","ఎయిర్ + మహాసముద్రం మిక్స్డ్ లేయర్ యొక్క ఉష్ణ సామర్థ్యం","एयर + महासागर मिश्रित परत के ताप क्षमता","السعة الحرارية للهواء المحيط + طبقة المختلطة"
"Land-Ocean Heat Coupling Factor","Land-Ocean Heat Coupling Factor","Land-Ocean Wärmekopplungsfaktor","Terre-océan chaleur coefficient de couplage","Land-Ocean Heat koblingsfaktor","陆地 - 海洋热力耦合因子","Tierra-Océano factor de acoplamiento de calor","Земля-океан Тепловой коэффициент связи","Đất đai-Ocean nhiệt nối Yếu tố","国土海洋熱カップリングファクター","Land-Ocean Heat Coupling Factor","토지 해양 열 결합도","భూమి-ఓషన్ వేడి కలుపుట ఫాక్టర్","भूमि-महासागर हीट युग्मन फैक्टर","الأراضي المحيط الحرارة اقتران عامل"
"Equator-to-Pole Diffusion","Equator-to-Pole Diffusion","Äquator-to-Pole Diffusion","Equateur-à-pôle Diffusion","Ækvator-til-Pole Diffusion","赤道到极扩散","Difusión ecuador-a-Polo","Экватор к полюсу Диффузия","Xích đạo-to-Cực Diffusion","赤道ツーポール拡散","Equator-to-Pole Diffusion","적도 - 투 - 극 확산","భూమధ్యరేఖ-టు-పోల్ వ్యాపనం","भूमध्य रेखा-टू-ध्रुव प्रसार","خط الاستواء إلى القطب إنتشار"
"Simulate Hadley Cell","Simulate Hadley Cell","Simulieren Hadley Zelle","Simuler Hadley cellulaire","Simulér Hadley Cell","模拟哈德利细胞","Simular Hadley Cell","Имитировать Hadley Cell","Mô phỏng Hadley di động","ハドレー循環をシミュレート","Simulere Hadley Cell","해들리 세포 시뮬레이션","హ్యాడ్లీ సెల్ చైతన్య","अनुकरण हैडली सेल","محاكاة هادلي خلية"
"Reset Climate to Default","Reset Climate to Default","Zurücksetzen Klima auf Standard","Réinitialiser les paramètres par défaut du climat","Nulstil Klima til standard","气候重置为默认值","Clima restablecer a los valores predeterminados","Сброс климата для умолчанию","Đặt lại khí hậu để mặc định","デフォルトの気候をリセット","Tilbakestill Climate til standard","기본값으로 기후 재설정","Default క్లైమేట్ రీసెట్","जलवायु रीसेट डिफ़ॉल्ट","إعادة المناخ إلى الافتراضي"
"Defines direction the rotation axis points","Defines direction the rotation axis points","Definiert Richtung der Rotationsachse Punkte","Définit direction les points de l'axe de rotation","Definerer retning rotationsaksen point","限定方向上的旋转轴线的点","Define dirección a los puntos eje de rotación","Определяет направление точки оси вращения","Xác định hướng các điểm xoay trục","方向回転軸点を定義","Definerer retning rotasjonsaksen punktene","방향 회전축 포인트를 정의","దిశ భ్రమణ అక్షానికి పాయింట్లు నిర్వచిస్తుంది","परिभाषित करता है दिशा रोटेशन धुरी अंक","يحدد اتجاه محور دوران نقطة"
"Avg. Distance to Star","Avg. Distance to Star","Rel. Entfernung zum Stern","Moy. Distance à Star","Gennemsnitlig. Afstand til stjerne","平均。距离星","Avg. Distancia a la estrella","Avg. Расстояние до Star","Avg. Khoảng cách đến sao","平均。スターへの距離","Nr. Avstand til stjerne","부근에 있습니다. 별까지의 거리","కనీస. స్టార్ దూరం","औसत। स्टार से दूरी","متوسط المسافة إلى نجم"
"The average distance to the Sun","The average distance to the Sun","Die durchschnittliche Entfernung zur Sonne","La distance moyenne au Soleil","Den gennemsnitlige afstand til Solen","到太阳的平均距离","La distancia media al Sol","Среднее расстояние до Солнца","Khoảng cách trung bình đến Mặt Trời","日までの平均距離","Den gjennomsnittlige avstanden til Solen","태양에 평균 거리","సూర్యునికి సగటు దూరం","सूर्य के लिए औसत दूरी","متوسط ​​المسافة من الشمس"
"Cumulative Properties","Cumulative Properties","kumulative Eigenschaften","Propriétés cumulatifs","Kumulative Egenskaber","累积属性","Propiedades acumulativos","Кумулятивные свойства","Thuộc tính tích lũy","累積プロパティ","kumulative Properties","누적 등록","సంచిత గుణాలు","संचयी गुण","خصائص التراكمية"
"Debug Tools","Debug Tools","Testen Extras","Outils de débogage","debug-værktøjer","调试工具","Herramientas de depuración","Отладочные инструменты","Công cụ debug","デバッグツール","debug verktøy","디버그 도구","డీబగ్ సాధనాలు","डीबग उपकरण","أدوات التصحيح"
"RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor","RadiusTuningFactor"
"disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation","disableInterpolation"
"linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody","linkMassToBody"
"linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody","linkRadiusToBody"
"linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere","linkAtmosphere"
"PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType","PastType"
"PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType","PresentType"
"FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType","FutureType"
"Transition","Transition","Übergang","transition","Transition","过渡","Transición","переход","chuyển tiếp","遷移","Overgang","전이","ట్రాన్సిషన్","संक्रमण","انتقال"
"Category","Category","Kategorie","catégorie","Kategori","类别","Categoría","категория","Thể loại","カテゴリー","Kategori","범주","వర్గం","वर्ग","الفئة"
"Base","Base","Basis","base","Base","基础","Base","База","Căn cứ","ベース","Utgangspunkt","베이스","బేస్","आधार","قاعدة"
"Celestial","Celestial","himmlisch","céleste","Celestial","天上","Celestial","астрономический","thiên thần","天の","Celestial","중국인","ఖగోళ","स्वर्गीय","سماوي"
"ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent","ChartComponent"
"OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements","OrbitalElements"
"AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent","AppearanceComponent"
"Composition","Composition","Zusammensetzung","composition","Sammensætning","组成","Composición","Состав","Thành phần","組成","sammensetning","구성","కూర్పు","रचना","تكوين"
"DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail","DustParticleTail"
"IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail","IonTail"
"TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent","TrailComponent"
"ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent","ClimateComponent"
"Persistence","Persistence","Beharrlichkeit","persistance","Persistens","坚持","Persistencia","Упорство","Persistence","固執","Standhaftighet","고집","పట్టుదల","हठ","إصرار"
"Save this object","Save this object","Speichern Sie diese Objekt","Enregistrer cet objet","Gem denne objekt","保存此对象","Guardar este objeto","Сохранить этот объект","Lưu đối tượng này","このオブジェクトを保存","Lagre dette objektet","이 객체를 저장","ఈ వస్తువు సేవ్","इस वस्तु सहेजें","حفظ هذا الكائن"
"Open Bodies Folder","Open Bodies Folder","Offenen Körpern Ordner","Organismes Ouvrir le dossier","Åbne Organer Folder","开启机关的文件夹","Carpeta Cuerpos abiertos","Открытые тела папки","Mở thư mục cơ quan","オープンボディフォルダ","Åpne Bodies Folder","열기 기관 폴더","ఓపెన్ బాడీస్ ఫోల్డర్","ओपन निकायों फ़ोल्डर","مجلد الهيئات المفتوحة"
"Misc","Misc","Sonstiges","Divers","misc","杂项","Miscelánea","Разное","misc","その他","Diverse","기타","Misc","विविध","متفرقات"
"Launch Fireworks","Launch Fireworks","Starten Sie Fireworks","Feux d'artifice de lancement","Launch Fyrværkeri","启动Fireworks","Los fuegos artificiales de lanzamiento","Запуск фейерверков","Fireworks Launch","花火を起動します","Launch Fyrverkeri","시작 불꽃 놀이","ప్రారంభం బాణసంచా","लॉन्च पटाखे","الألعاب النارية إطلاق"
"Zero Velocity","Zero Velocity","Null-Geschwindigkeit","zéro Velocity","Zero Velocity","零速度","velocidad cero","Нулевая скорость","zero Velocity","ゼロ速度","Zero Velocity","제로 속도","జీరో వెలాసిటీ","शून्य वेग","صفر السرعة"
"Explosion","Explosion","Explosion","explosion","eksplosion","爆炸","Explosión","взрыв","tiếng nổ","爆発","Eksplosjon","폭발","ప్రేలుడు","विस्फोट","انفجار"
"Energy","Energy","Energie","énergie","Energi","能源","Energía","энергии","Năng lượng","エネルギー","Energi","에너지","శక్తి","ऊर्जा","طاقة"
"Mars","Mars","Mars","Mars","Mars","火星","Marte","Марс","Hỏa Tinh","火星","Mars","화성","మార్స్","मंगल ग्रह","المريخ"
"Find","Find","Suche","trouver","finde","找","Encontrar","найти","Tìm thấy","検索","Finne","발견","కనుగొనండి","खोज","تجد"
"All","All","Alle","tous","Alle","所有","Todas","Все","Tất cả các","すべて","Alle","모든","అన్ని","सब","الكل"
"Internal","Internal","Interan","interne","Intern","内部","Interno","внутренний","nội bộ","内部","Innvendig","내부의","అంతర్గత","अंदर का","داخلي"
"Bugs","Bugs","Bugs","Bugs","Bugs","错误","Loco","ошибки","Bugs","バグ","bugs","버그","బగ్స్","कीड़े","البق"
"Old Internal","Old Internal","Alt Intern","Ancien interne","Old Intern","旧的内部","antiguo interna","Старый Внутренний","cũ nội","旧内部","Old Intern","올드 내부","పాత అంతర్గత","पुरानी आंतरिक","الداخلية قديم"
"Solar Sys","Solar Sys","Solar-Sys","Sys solaire","Solar Sys","太阳能Sys系统","Sys solar","Солнечная Sys","Năng lượng mặt trời Sys","太陽のSys","Solar Sys","태양 sys 인","సౌర Sys","सौर Sys","تصميم النظم الشمسية"
"Planets","Planets","Planets","planètes","Planeter","行星","planetas","планеты","Những hành tinh","惑星","planeter","행성","ప్లానెట్స్","ग्रह","الكواكب"
"Exoplanets","Exoplanets","Exoplaneten","exoplanètes","exoplaneter","系外行星","exoplanetas","Экзопланеты","ngoại hành tinh","系外惑星","eksoplaneter","외계 행성","exoplanets","exoplanets","الكواكب الخارجية"
"Supernovas","Supernovas","Supernovae","supernovas","supernovaer","超新星","supernovas","Сверхновые","Siêu tân tinh","超新星","supernovaer","초신성","Supernovas","सुपरनोवा","السوبرنوفا"
"Stress Tests","Stress Tests","Stresstests","Stress Tests","Stresstest","压力测试","Las pruebas de estrés","Стресс-тесты","Các thử nghiệm căng thẳng","ストレステスト","Stresstester","스트레스 테스트","ఒత్తిడి పరీక్షలు","तनाव टेस्ट","اختبارات الإجهاد"
"Experiments","Experiments","Versuche","expériences","Eksperimenter","实验","experimentos","Эксперименты","Các thí nghiệm","実験","eksperimenter","실험","ప్రయోగాలు","प्रयोगों","تجارب"
"Human Scale","Human Scale","Human Scale","L'échelle humaine","menneskelig skala","人体秤","Escala humana","Масштаб человеческой","Quy mô nhân lực","ヒューマンスケール","menneskelig skala","휴먼 스케일","మానవ స్కేల్","मानव स्तर","المقياس البشري"
"Other Tests","Other Tests","andere Tests","autres tests","Andre Tests","其他测试","otras pruebas","Другие тесты","các xét nghiệm khác","その他のテスト","andre tester","기타 테스트","ఇతర పరీక్షలు","अन्य परीक्षण","اختبارات أخرى"
"My Sims","My Sims","My Sims","My Sims","Mine Sims","我的模拟人生","MySims","Мои симы","Sims của tôi","ぼくとシムのまち","Mine Sims","내 심즈","నా సిమ్స్","मेरे सिम्स","بلدي سيمز"
"Choreo","Choreo","Choreo","Choreo","choreo","Choreo","coreo","Choreo","động tác vũ đạo","Choreo","Oscar®","Choreo","choreo","Choreo","Choreo"
"Systems","Systems","Systeme","systèmes","Systemer","系统","sistemas","системы","hệ thống","システム","Systems","시스템","సిస్టమ్స్","सिस्टम","أنظمة"
"Galaxies","Galaxies","Galaxies","galaxies","Galakser","星系","galaxias","Galaxies","Các thiên hà","銀河","galakser","은하","పాలపుంతలకు","आकाशगंगाओं","المجرات"
"Encounters","Encounters","Begegnungen","rencontres","Encounters","邂逅","encuentros","Столкновения","cuộc gặp gỡ","出会い","Encounters","만남","ఎన్కౌంటర్స్","मुठभेड़ों","لقاءات"
"Grids","Grids","Grids","grilles","Grids","网格","rejillas","Сетки","lưới","グリッド","Rister","그리드","గ్రిడ్స్","ग्रिड","شبكات"
"Chaotic Orbits","Chaotic Orbits","Chaotic Orbits","orbites chaotiques","kaotiske Kredsløb","混沌轨道","Las órbitas caóticas","Хаотические Орбиты","Quỹ đạo hỗn loạn","カオス軌道","kaotiske baner","혼돈 궤도","అస్తవ్యస్తమైన కక్ష్యలు","अराजक कक्षाओं","مدارات الفوضى"
"Stars","Stars","Sterne","étoiles","stjerner","明星","Estrellas","Звезды","sao","スター","Stjerner","별","స్టార్స్","सितारे","نجوم"
"Minor","Minor","Moll","mineur","Minor","次要","Menor","Незначительный","Diễn viên phụ","マイナー","Liten","미성년자","మైనర్","नाबालिग","تحت السن القانوني"
"Black Holes","Black Holes","Schwarze Löcher","trous noirs","Sorte huller","黑洞","Agujeros negros","Черные дыры","Holes đen","ブラックホール","Svarte hull","블랙홀","కృష్ణ బిలాలు","ब्लैक होल्स","الثقوب السوداء"
"Common","Common","gemeinsam","commun","fælles","共同","Común","общий","Chung","一般","Felles","공유지","సాధారణ","सामान्य","مشترك"
"Moons","Moons","Moons","Moons","Moons","月亮","lunas","Спутники","mặt trăng","ムーンズ","Moons","달","మూన్స్","चन्द्रमा","أقمار"
"Objects","Objects","Gegenstände","objets","objekter","对象","Objetos","Объекты","Các đối tượng","オブジェクト","objekter","사물","Objects","वस्तुओं","شاء"
"User Objects","User Objects","Benutzerobjekte","Objets de l'utilisateur","Bruger objekter","用户对象","Objetos de usuario","Пользовательские объекты","Đối tượng người dùng","ユーザーオブジェクト","bruker~~POS=TRUNC objekter","사용자 개체","వాడుకరి Objects","उपयोगकर्ता वस्तुओं","كائنات المستخدم"
"Rings","Rings","Ringe","anneaux","Ringe","戒指","anillos","Кольца","Nhẫn","リング","ringer","반지","ఉంగరాలు","रिंगों","خواتم"
"1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","1D","-1 डी","1D"
"2D","2D","2D","2D","2D","2D","2D","2D","2D","2D","2D","2D","2D","2 डी","2D"
"3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3 डी","3D"
"Procedural","Procedural","Prozedural","de procédure","Forretningsordenens","程序","Procesal","процедурный","Theo Thủ Tục","手続き","Prosedyremessig","절차","విధానపరమైన","प्रक्रियात्मक","إجرائي"
"Textured","Textured","Texturiert","texturé","Textured","纹理","texturizado","Текстурированные","kết cấu","テクスチャ","Textured","질감","నిర్మాణ","बनावट","مركب"
"Planet","Planet","Planet","planète","Planet","行星","Planeta","планета","hành tinh","惑星","Planet","행성","ప్లానెట్","ग्रह","كوكب"
"Basic","Basic","Basic","de base","Grundlæggende","基本","BASIC","основной","Căn bản","基本的な","grunn~~POS=TRUNC","기본","ప్రాథమిక","बुनियादी","الأساسية"
"Materials","Materials","Materialien","matériels","Materialer","物料","materiales","материалы","Nguyên vật liệu","材料","materialer","기재","మెటీరియల్స్","सामग्री","المواد"
"Orcus","Orcus","Orcus","Orcus","Orcus","奥喀斯","Orcus","Орк","Orcus","オルクス","Orcus","Orcus","Orcus","ओर्कुस","Orcus"
"Climate","Climate","Klima","climat","Klima","气候","Clima","климат","Khí hậu","気候","Klima","기후","వాతావరణ","जलवायु","مناخ"
"Copy Language Keys to Clipboard","Copy Language Keys to Clipboard","Copy Language Keys to Clipboard","Copy Language Keys to Clipboard","Copy Language Keys to Clipboard","副本语言的按键到剪贴板","Copia en idioma llaves al portapapeles","Копировать Языковые ключи в буфер обмена","Sao chép Ngôn ngữ Keys để Clipboard","言語キーは、クリップボードにコピー","Kopier Språk Keys til utklippstavlen","언어 키는 클립 보드에 복사","క్లిప్బోర్డ్కు భాషా కీస్ కాపీ","कॉपी भाषा कुंजी क्लिपबोर्ड","نسخ مفاتيح اللغة إلى الحافظة"
"High","High","High","High","High","高","Alto","Высокая","Cao","高い","Høy","높은","అధిక","उच्च","متوسط"
"Medium","Medium","Medium","Medium","Medium","中","Medio","средний","Trung bình","中","Medium","매질","మీడియం","मध्यम","متوسط"
"Low","Low","Low","Low","Low","低","Bajo","Низкий","thấp","低いです","Lav","낮은","తక్కువ","कम","منخفض"
"Off","Off","Off","Off","Off","离","Apagado","от","Tắt","オフ","Av","떨어져서","ఆఫ్","बंद","إيقاف"
"  2x   Multisampling","  2x   Multisampling","  2x   Multisampling","  2x   Multisampling","  2x   Multisampling","  2X多重采样","  2x Multimuestreo","  2x Multisampling","  2x cách liền lạc","  2倍マルチサンプリング","  2x multisampling","  배 멀티 샘플링","  2x Multisampling","  2x Multisampling","  2X مولتيسامبلينغ"
"  4x   Multisampling","  4x   Multisampling","  4x   Multisampling","  4x   Multisampling","  4x   Multisampling","  4倍多采样","  4x Multimuestreo","  4x Multisampling","  4x cách liền lạc","  4倍マルチサンプリング","  4x multisampling","  배 멀티 샘플링","  4x Multisampling","  4x Multisampling","  4X مولتيسامبلينغ"
"  8x   Multisampling","  8x   Multisampling","  8x   Multisampling","  8x   Multisampling","  8x   Multisampling","  8倍速多重采样","  8x Multimuestreo","  8й Multisampling","  8x cách liền lạc","  8倍速マルチサンプリング","  8x multisampling","  8 배속 멀티 샘플링","  8x Multisampling","  8x Multisampling","  8X مولتيسامبلينغ"
"Realistic","Realistic","Realistic","Realistic","Realistic","实际","Realista","реалистический","Thực tế","現実的","realistisk","실감 나는","యదార్థ","यथार्थवादी","واقعي"
"Wireframe","Wireframe","Wireframe","Wireframe","Wireframe","线框","wireframe","Каркасный","wireframe","ワイヤーフレーム","Rammeverk","와이어 프레임","wireframe","वायरफ़्रेम","السلكي"
"Retro","Retro","Retro","Retro","Retro","复古","retro","Ретро","retro","レトロ","retro","레트로","రెట్రో","रेट्रो","ريترو"
"Sketchbook","Sketchbook","Sketchbook","Sketchbook","Sketchbook","写生","Bloc de dibujo","Sketchbook","Sketchbook","スケッチブック","skissebok","수필집","sketchbook","Sketchbook","كراسة الرسم"
"Relief","Relief","Relief","Relief","Relief","浮雕","Alivio","Облегчение","Cứu trợ","救済","Lettelse","구조","రిలీఫ్","राहत","ارتياح"
"Underwater","Underwater","Underwater","Underwater","Underwater","水下","Submarino","подводный","dưới nước","水中","Under vann","수중","అండర్వాటర్","पानी के नीचे","تحت الماء"
"Selected","Selected","Selected","Selected","Selected","选","Seleccionado","выбранный","Đã chọn","選択","valgt","선택된","ఎంచుకున్న","चयनित","المحدد"
"Auto","Auto","Auto","Auto","Auto","汽车","Auto","Авто","Tự động","オート","Auto","자동","దానంతట అదే","ऑटो","تلقاءي"
"Studio","Studio","Studio","Studio","Studio","工作室","Estudio","студия","Studio","スタジオ","Studio","사진관","స్టూడియో","स्टूडियो","ستوديو"
"Flash Light","Flash Light","Flash Light","Flash Light","Flash Light","闪光灯","luz de flash","фонарик","flash Light","フラッシュライト","Flash Lys","플래시 라이트","ఫ్లాష్ లైట్","फ्लैश लाइट","ضوء فلاش"
"Acceleration","Acceleration","Acceleration","Acceleration","Acceleration","促进","Aceleración","ускорение","Sự tăng tốc","加速度","Akselerasjon","가속","త్వరణం","त्वरण","تسارع"
"Physics","Physics","Physics","Physics","Physics","物理","Física","физика","vật lý","物理","fysikk","물리학","ఫిజిక్స్","भौतिक विज्ञान","علوم فيزيائية"
"Flat","Flat","Flat","Flat","Flat","平面","Plano","Квартира","Bằng phẳng","平らな","Flat","플랫","ఫ్లాట్","समतल","مسطحة"
"Billboard","Billboard","Billboard","Billboard","Billboard","广告牌","Cartelera","рекламный щит","Billboard","看板","Billboard","광고 게시판","బిల్బోర్డ్","बिलबोर्ड","لوحة"
"Cross","Cross","Cross","Cross","Cross","交叉","Cruzar","Пересекать","Vượt qua","クロス","Kryss","십자가","క్రాస్","पार करना","تعبر"
"Color","Color","Color","Color","Color","颜色","Color","цвет","Màu","色","Farge","색깔","రంగు","रंग","اللون"
